Diet	High	Low	High	Low	High	Low	High	Low	High	Low	High	Low
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Thermogladius|s__Thermogladius calderae	4	32	2	14	10	8	10	12	5	12	19	13
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Thermosphaera	6	37	7	9	13	7	20	5	6	27	17	23
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Thermosphaera|s__Thermosphaera aggregans	6	37	7	9	13	7	20	5	6	27	17	23
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Pyrodictiaceae	34	47	34	68	293	58	120	61	205	36	150	47
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Pyrodictiaceae|g__Hyperthermus	2	15	1	6	4	3	10	2	3	5	8	7
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Pyrodictiaceae|g__Hyperthermus|s__Hyperthermus butylicus	2	15	1	6	4	3	10	2	3	5	8	7
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Pyrodictiaceae|g__Pyrodictium	24	20	23	13	110	9	55	14	34	19	58	23
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Pyrodictiaceae|g__Pyrodictium|s__Pyrodictium delaneyi	24	20	23	13	110	9	55	14	34	19	58	23
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Pyrodictiaceae|g__Pyrolobus	8	12	10	49	179	46	55	45	168	12	84	17
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Pyrodictiaceae|g__Pyrolobus|s__Pyrolobus fumarii	8	12	10	49	179	46	55	45	168	12	84	17
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Fervidicoccales	1	36	1	23	23	8	29	16	8	48	40	42
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Fervidicoccales|f__Fervidicoccaceae	1	36	1	23	23	8	29	16	8	48	40	42
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Fervidicoccales|f__Fervidicoccaceae|g__Fervidicoccus	1	36	1	23	23	8	29	16	8	48	40	42
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Fervidicoccales|f__Fervidicoccaceae|g__Fervidicoccus|s__Fervidicoccus fontis	1	36	1	23	23	8	29	16	8	48	40	42
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales	287	1620	187	950	1184	366	1338	578	519	1434	1266	1205
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae	287	1620	187	950	1184	366	1338	578	519	1434	1266	1205
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Acidianus	74	541	56	379	321	196	493	308	124	520	395	452
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Acidianus|s__Acidianus brierleyi	13	132	13	52	70	34	116	33	28	105	106	73
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Acidianus|s__Acidianus hospitalis	11	96	7	13	77	23	92	35	21	90	80	72
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Acidianus|s__Acidianus manzaensis	31	179	20	241	94	98	146	188	45	172	116	210
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Acidianus|s__Acidianus sulfidivorans	19	131	16	73	78	41	133	51	30	149	92	93
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Metallosphaera	29	155	31	110	60	21	109	38	42	147	109	103
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Metallosphaera|s__Metallosphaera cuprina	5	31	4	22	7	2	19	7	10	27	29	26
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Metallosphaera|s__Metallosphaera hakonensis	15	65	13	59	33	10	51	17	16	76	47	33
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Metallosphaera|s__Metallosphaera sedula	9	59	14	29	20	9	39	13	16	44	33	44
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Saccharolobus	34	125	8	64	203	10	125	20	64	89	136	77
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Saccharolobus|s__Saccharolobus solfataricus	34	125	8	64	203	10	125	20	64	89	136	77
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfodiicoccus	11	40	5	10	16	2	31	12	9	28	39	32
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfodiicoccus|s__Sulfodiicoccus acidiphilus	11	40	5	10	16	2	31	12	9	28	39	32
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus	108	582	71	311	486	122	458	161	243	513	447	415
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus acidocaldarius	8	84	9	22	39	14	63	25	19	81	54	52
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus islandicus	49	226	25	145	185	57	183	72	95	186	142	159
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus sp. A20	35	71	21	77	170	25	88	27	91	75	88	73
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus sp. E11-6	2	27	2	2	11	1	15	3	4	26	16	18
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus sp. E5-1-F	4	13	3	15	5	3	8	2	1	11	11	11
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus sp. JCM 16833	1	11	0	2	2	0	4	1	5	5	6	4
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus sp. JCM 16834	0	8	0	0	2	0	4	1	0	9	8	4
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfurisphaera	15	135	9	71	73	13	99	29	22	104	107	91
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfurisphaera|s__Sulfurisphaera tokodaii	15	135	9	71	73	13	99	29	22	104	107	91
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales	434	423	463	899	491	360	310	354	368	309	377	315
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermofilaceae	45	98	21	75	156	68	68	93	67	84	95	64
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermofilaceae|g__Thermofilum	45	98	21	75	156	68	68	93	67	84	95	64
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermofilaceae|g__Thermofilum|s__Thermofilum adornatum	31	36	5	33	123	51	35	72	47	43	34	25
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermofilaceae|g__Thermofilum|s__Thermofilum pendens	5	29	8	35	25	13	15	12	11	15	23	15
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermofilaceae|g__Thermofilum|s__Thermofilum uzonense	9	32	8	7	8	4	17	9	9	26	38	24
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae	389	325	442	824	335	292	242	261	301	225	282	251
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Caldivirga	11	31	3	5	24	5	19	16	10	27	30	19
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Caldivirga|s__Caldivirga maquilingensis	11	31	3	5	24	5	19	16	10	27	30	19
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Pyrobaculum	353	139	412	624	236	228	135	175	252	95	155	112
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Pyrobaculum|s__Pyrobaculum aerophilum	4	33	6	159	19	6	17	19	11	21	14	18
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Pyrobaculum|s__Pyrobaculum arsenaticum	5	13	3	72	13	11	9	5	6	13	14	4
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Pyrobaculum|s__Pyrobaculum ferrireducens	337	53	390	290	175	169	74	121	221	24	81	45
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Pyrobaculum|s__Pyrobaculum islandicum	4	21	4	63	13	10	18	10	7	28	20	28
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Pyrobaculum|s__Pyrobaculum neutrophilum	2	19	7	39	14	32	17	20	5	9	23	17
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Thermoproteus	12	57	14	100	33	16	36	25	14	27	38	43
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Thermoproteus|s__Thermoproteus tenax	7	35	6	27	14	6	19	10	7	12	15	32
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Thermoproteus|s__Thermoproteus uzoniensis	5	22	8	73	19	10	17	15	7	15	23	11
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Vulcanisaeta	13	98	13	94	42	43	52	45	25	76	59	74
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Vulcanisaeta|s__Vulcanisaeta distributa	8	68	8	27	21	12	25	13	17	44	34	46
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Vulcanisaeta|s__Vulcanisaeta moutnovskia	5	30	5	67	21	31	27	32	8	32	24	28
d__Archaea|p__Euryarchaeota	12577	11013	10865	17732	15856	9265	11396	9900	13738	9247	12408	8741
d__Archaea|p__Euryarchaeota|c__Archaeoglobi	463	268	115	278	495	254	416	213	554	224	445	194
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales	463	268	115	278	495	254	416	213	554	224	445	194
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae	463	268	115	278	495	254	416	213	554	224	445	194
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus	417	156	99	191	423	210	315	176	495	136	348	113
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus fulgidus	12	48	11	30	76	82	49	51	55	39	54	30
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus profundus	3	15	4	6	12	0	15	3	12	10	14	11
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus sulfaticallidus	398	54	80	120	307	127	227	105	421	47	241	51
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Archaeoglobus|s__Archaeoglobus veneficus	4	39	4	35	28	1	24	17	7	40	39	21
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Ferroglobus	9	47	2	17	17	10	34	5	12	27	31	29
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Ferroglobus|s__Ferroglobus placidus	9	47	2	17	17	10	34	5	12	27	31	29
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Geoglobus	37	65	14	70	55	34	67	32	46	61	66	52
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Geoglobus|s__Geoglobus acetivorans	12	44	6	5	21	9	37	12	10	34	38	29
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales|f__Archaeoglobaceae|g__Geoglobus|s__Geoglobus ahangari	25	21	8	65	34	25	30	20	36	27	28	23
d__Archaea|p__Euryarchaeota|c__Halobacteria	5461	1851	5776	6888	5196	3945	2532	3901	5183	1285	3091	1685
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales	1120	517	1154	2104	1483	1184	702	1369	1314	349	893	521
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae	932	313	946	1389	1249	854	526	1028	1084	215	681	361
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halapricum	9	28	6	120	18	49	17	39	5	19	13	23
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halapricum|s__Halapricum salinum	9	28	6	120	18	49	17	39	5	19	13	23
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula	559	113	642	586	310	368	153	427	373	83	189	163
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula|s__Haloarcula hispanica	5	1	3	23	2	2	2	6	8	0	2	1
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula|s__Haloarcula marismortui	381	47	502	293	197	182	60	108	251	17	96	34
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula|s__Haloarcula sp. CBA1115	0	9	2	5	5	1	8	1	5	5	5	4
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula|s__Haloarcula taiwanensis	152	43	119	241	87	176	54	297	94	39	56	108
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halomicrobium	276	39	218	223	304	120	96	117	226	25	135	37
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halomicrobium|s__Halomicrobium mukohataei	254	28	203	142	288	99	81	77	214	14	115	17
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halomicrobium|s__Halomicrobium sp. LC1Hm	11	10	12	68	10	17	15	36	11	11	14	20
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halorhabdus	24	53	11	216	312	109	137	103	225	38	164	47
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halorhabdus|s__Halorhabdus tiamatea	9	18	5	48	165	49	58	41	124	17	78	27
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halorhabdus|s__Halorhabdus utahensis	13	34	5	159	147	58	78	60	101	19	86	20
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halorientalis	22	28	19	90	120	74	30	99	84	10	40	36
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halorientalis|s__Halorientalis sp. IM1011	22	28	19	90	120	74	30	99	84	10	40	36
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Natronomonas	35	34	39	107	165	108	70	181	156	24	116	31
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Natronomonas|s__Natronomonas moolapensis	15	23	9	67	6	34	15	57	16	14	16	18
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Natronomonas|s__Natronomonas pharaonis	20	11	30	40	159	74	55	124	140	10	100	13
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|s__Haloarculaceae archaeon HArcel1	6	16	9	41	17	25	16	58	14	16	22	23
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae	187	203	208	715	232	330	176	340	230	133	212	159
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halalkalicoccus	21	26	19	112	25	72	33	75	36	23	17	25
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halalkalicoccus|s__Halalkalicoccus jeotgali	21	26	19	112	25	72	33	75	36	23	17	25
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halanaeroarchaeum	8	14	9	17	13	28	22	28	8	7	21	16
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halanaeroarchaeum|s__Halanaeroarchaeum sulfurireducens	8	14	9	17	13	28	22	28	8	7	21	16
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium	61	75	74	197	123	106	45	86	109	48	91	42
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium|s__Halobacterium hubeiense	13	17	18	36	76	25	20	22	63	8	44	8
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium|s__Halobacterium salinarum	15	43	7	99	20	52	13	29	17	22	23	23
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium|s__Halobacterium sp. DL1	32	15	48	54	27	29	12	34	29	18	23	11
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halodesulfurarchaeum	16	16	19	52	13	44	24	92	10	16	18	18
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halodesulfurarchaeum|s__Halodesulfurarchaeum formicicum	16	16	19	52	13	44	24	92	10	16	18	18
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halorussus	18	20	16	155	32	29	20	14	37	13	19	16
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halorussus|s__Halorussus sp. RC-68	18	20	16	155	32	29	20	14	37	13	19	16
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halostella	7	26	9	52	14	24	14	18	11	15	24	17
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halostella|s__Halostella sp. DL-M4	7	26	9	52	14	24	14	18	11	15	24	17
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Salarchaeum	56	26	62	130	12	27	18	27	19	10	22	25
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Salarchaeum|s__Salarchaeum sp. JOR-1	56	26	62	130	12	27	18	27	19	10	22	25
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales	1309	604	1259	2027	947	930	681	989	1075	449	714	536
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae	685	335	626	856	530	458	387	480	570	252	387	318
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halobellus	452	63	453	376	237	187	90	151	295	26	129	55
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halobellus|s__Halobellus limi	452	63	453	376	237	187	90	151	295	26	129	55
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloferax	55	69	60	184	98	94	76	114	61	46	64	80
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloferax|s__Haloferax gibbonsii	15	21	20	45	24	14	11	32	26	8	17	20
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloferax|s__Haloferax mediterranei	20	30	19	53	41	41	31	31	17	20	25	35
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloferax|s__Haloferax volcanii	10	12	10	31	23	16	23	22	12	12	17	11
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halogeometricum	8	22	4	61	14	8	12	19	11	17	22	16
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halogeometricum|s__Halogeometricum borinquense	8	22	4	61	14	8	12	19	11	17	22	16
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloplanus	140	65	81	159	126	114	125	139	158	48	90	64
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloplanus|s__Haloplanus aerogenes	28	14	17	61	36	23	17	60	30	14	18	19
